"","baseMean"
"GPFGEMDG_02033",3587.47980628387
"xylB_1",679.8059521609
"gsiC",372.757261675745
"licR_1",2120.57713222024
"araB",140.06338902214
"GPFGEMDG_02490",978.083357490647
"GPFGEMDG_00260",699.804249472288
"GPFGEMDG_00822",6674.05926819912
"gmuE_2",1552.96887266299
"GPFGEMDG_01304",387.426712422827
"rsmF",2410.0141755485
"GPFGEMDG_01976",765.58650488517
"trmFO",245.578005999769
"GPFGEMDG_02733",2143.63483222937
"aldC",241.407781785338
"dprA",2571.59785962873
"yehU_1",912.903578557348
"GPFGEMDG_00379",330.186514605715
"yccF",471.167808618659
"GPFGEMDG_00129",316.630050399234
"GPFGEMDG_01916",1333.05051742159
"degA_3",152.807841061743
"potA_1",20.5419766626177
"GPFGEMDG_02024",717.308977925557
"GPFGEMDG_00277",2374.3317271469
"thiY",216.810565189756
"GPFGEMDG_02704",235.487504794119
"pgsA1",519.438132767722
"GPFGEMDG_00853",202.174326809087
"yjmB",3297.33950147893
"rhaA",1487.46539746862
"Int-Tn_2",1155.56137720106
"deoC",18.8964503336123
"GPFGEMDG_00262",2419.33360425643
"hepT",2362.97187880359
"mtlA_1",52.7681465326022
"GPFGEMDG_01524",3646.11565477096
"yjcD",4647.64022261696
"GPFGEMDG_01040",365.782492075439
"manX_1",1848.22557912001
"GPFGEMDG_00958",119.932962525166
"GPFGEMDG_02539",526.162256555719
"gatC_1",1090.07764974361
"GPFGEMDG_00043",641.127936705535
"znuC_2",446.47926609836
"GPFGEMDG_02536",227.371442874279
"GPFGEMDG_01514",34.8348981538224
"GPFGEMDG_00029",530.867404365672
"nupC",304.938054805104
"manZ_1",3072.43093627908
"agaSK_2",2162.58569378723
"GPFGEMDG_02634",2319.59411078488
"GPFGEMDG_02084",5189.92844934082
"mutS_2",1971.29708226058
"GPFGEMDG_00465",8451.61972725885
"metE",37.1010243003908
"fldH_1",423.822160267335
"celA_1",193.496240548443
"ribX",603.083426091566
"nagE",1419.05784414025
"GPFGEMDG_01270",45.5589464670213
"GPFGEMDG_02413",912.256412943194
"rifL",1371.21438266472
"GPFGEMDG_00241",3401.99069871059
"hsdR",660.189531939647
"GPFGEMDG_00125",932.634404540361
"ugpB",2277.47476669502
"GPFGEMDG_00036",1227.14120131096
"yteP_2",2805.10887964919
"ycjO",513.003154085535
"GPFGEMDG_00899",187.455962503698
"appA",3003.48052119455
"GPFGEMDG_00294",370.622932472212
"GPFGEMDG_00699",8945.30624073607
"GPFGEMDG_02821",193.096069558169
"prsA_2",429.313116204468
"GPFGEMDG_02871",901.896113942392
"GPFGEMDG_01454",906.579826018327
"ubiB",3412.66954396384
"GPFGEMDG_00850",150.803271937655
"GPFGEMDG_01227",323.061392058088
"spxA_1",117.8460993227
"GPFGEMDG_01562",1071.3140927436
"GPFGEMDG_00100",46.2265764680336
"ispE",180.088571568047
"lrgA",189.558491882898
"GPFGEMDG_00920",1499.65189119058
"xylG",1295.48851993296
"GPFGEMDG_00354",7912.3740714698
"dgaR_1",4347.51247791844
"pheA",195.178944856215
"chbR",935.503404600688
"GPFGEMDG_01628",197.591131033812
"ytcD",1077.73939318097
"mfpA",901.99448442335
"coiA",875.636054145043
"dapF",906.284957604513
"gspA_1",1007.23550925367
"GPFGEMDG_00324",903.805981132279
"desK",13.8302049718869
"GPFGEMDG_01805",8732.28332949698
"GPFGEMDG_00030",18.5242532442722
"fhuC",86.0691422818801
"lacF_1",333.819950274249
"GPFGEMDG_02315",813.457723104478
"ytlR",562.376281134126
"corA_2",1041.40949074534
"GPFGEMDG_00114",139.120288591316
"maf",2047.50219271345
"GPFGEMDG_00186",3706.49031030826
"qorB",16529.8164511011
"epsJ_3",408.422754503259
"wbgU_2",705.282069145854
"ycjP",2032.60313610029
