"","baseMean"
"GPFGEMDG_02398",18.263099638189
"GPFGEMDG_00670",1717.76778361595
"GPFGEMDG_00017",2306.87980780111
"GPFGEMDG_00321",135.319737498731
"pucK",5708.11854393067
"GPFGEMDG_02764",84.272996165243
"GPFGEMDG_02394",2046.97514476743
"lytA_3",27016.6047291489
"recJ",12.9290271203106
"emrB",503.915215186596
"GPFGEMDG_02019",1844.98360490406
"natA_3",1890.42208611641
"tag",2176.10356757331
"ribZ_1",51.0521340457182
"GPFGEMDG_01933",64.4523607721038
"ansA",1562.95246297208
"GPFGEMDG_02829",563.721547258791
"GPFGEMDG_02290",86.7888939764307
"tqsA_3",1748.5850937836
"yfiY",454.750289672827
"recD2",385.884228196662
"GPFGEMDG_00035",378.463516184022
"lacE_2",321.383287232055
"GPFGEMDG_01990",1315.77272313114
"fnr",552.705650463243
"araD",39.0000753791724
"nox_2",631.337631148039
"yesS",1323.91601748081
"fhs1",639.326642967386
"GPFGEMDG_01003",65.2838367983948
"fucO",2440.34948338706
"ruvB",356.979015565522
"nlhH",70.6275348518661
"bin3_4",573.175003395085
"benM",309.184490972351
"GPFGEMDG_00072",2451.85454410608
"GPFGEMDG_01609",1071.16012178389
"yheI",19332.1909258873
"GPFGEMDG_00083",8199.64242937601
"GPFGEMDG_00136",168.890278454897
"phaJ",37.5522232233381
"ptsG_1",4890.69639867057
"udk",841.656065307788
"comGC",1740.65220361042
"GPFGEMDG_00231",7501.98604255841
"GPFGEMDG_00111",2344.87390163145
"agrA_1",2337.50202364845
"pepF1_1",220.071472913591
"fruA_3",988.649506459562
"oppF_1",442.250885838843
"GPFGEMDG_00103",3493.70990948867
"GPFGEMDG_01646",1868.60251132218
"ykuT",312.913089165271
"helD_1",1993.08171075463
"fabG_3",431.224859692993
"GPFGEMDG_02400",226.553403580384
"lacG_3",1220.3478549655
"GPFGEMDG_00170",834.390433041898
"GPFGEMDG_00436",1786.52007141278
"pbpX_1",187.471813644411
"GPFGEMDG_01318",36.0821254565541
"agrA_2",462.582136996178
"rspR_2",1311.2312235419
"glxK",11206.1796755695
"queG",380.486091788258
"nhaK",4695.7417021557
"GPFGEMDG_00831",72.6368597740366
"GPFGEMDG_00052",1383.18752684796
"ndvA",503.150087056059
"GPFGEMDG_00975",35.4215006534878
"GPFGEMDG_01007",275.889113567179
"GPFGEMDG_01699",12467.3082277487
"GPFGEMDG_00101",4751.56799042794
"murR_1",12736.9931575084
"GPFGEMDG_01595",6381.20217295487
"GPFGEMDG_02363",12.3039130513182
"punA",31.0319713911637
"GPFGEMDG_02707",7087.13737287597
"GPFGEMDG_01698",6116.69567759636
"kojP",5448.82127972112
"clcA",1816.17297540039
"mleS",2416.42164236541
"ybbH_2",123.562286687729
"lacG_1",2389.74204863391
"mtlA_2",246.567594304962
"GPFGEMDG_02526",1728.71696871945
"hemN",440.59714491269
"ltaS1_3",2293.41912870646
"uxaC",524.369258398813
"GPFGEMDG_00193",603.128642606971
"GPFGEMDG_00403",1164.59346617681
"GPFGEMDG_00650",527.586698503571
"arcD1_2",1809.56542797524
"rpmF_1",3062.8581745536
"ecsA_1",265.903467543704
"GPFGEMDG_01687",4309.72373795259
"GPFGEMDG_01904",1300.64341664834
"GPFGEMDG_02260",362.645629865992
"GPFGEMDG_02003",283.01392969853
"yvdM_2",953.661498614758
"fldH_2",432.743068630657
"GPFGEMDG_02180",78.423828806374
"GPFGEMDG_00988",1157.94948554864
