"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"xerD_2",1594.50286873119,-0.49627030261969,0.0771579344500217,-6.43187646425585,1.26038161696418e-10,2.17978646010819e-10
"dnaA",15905.0257612526,-0.323417079803378,0.0502878830472916,-6.43131228051956,1.26506950289683e-10,2.18646865875263e-10
"GPFGEMDG_02832",73.9026838301869,-1.65487342523898,0.258101184777314,-6.41172347452329,1.43883647205598e-10,2.48517783877898e-10
"pnp",41617.7038894357,0.330855454755513,0.0517190449064891,6.39716869005833,1.58284430965477e-10,2.73213139460905e-10
"GPFGEMDG_02024",164.864571316082,-1.05669474791417,0.165214112991409,-6.39591091088639,1.59593039008582e-10,2.75292803959537e-10
"GPFGEMDG_00269",800.829566861463,0.612408827542541,0.0959736151526422,6.38101239146332,1.75921070720982e-10,3.03260949072622e-10
"GPFGEMDG_01307",3793.79060320645,0.426856141032005,0.0670868207523861,6.36274213392088,1.98183261102653e-10,3.41415708899571e-10
"tee6",444.244129406025,-0.805141276133518,0.126956472500261,-6.34186867575313,2.2699477792943e-10,3.90796330854496e-10
"potA_1",1869.41858556502,-0.673106426870293,0.106180467734301,-6.33926786379044,2.30859563617456e-10,3.97192232345727e-10
"coaBC_1",2512.59119980263,0.444812213287826,0.070210636619322,6.33539638302345,2.36731865973239e-10,4.07031523283865e-10
"ntpB",22893.5440081895,0.439092046415083,0.0694596369865787,6.3215424880485,2.58965150414391e-10,4.44970559617474e-10
"clcA",2603.57613454074,-0.388188884545853,0.0614509285057454,-6.3170548270814,2.66595022006786e-10,4.57784202837542e-10
"ftsW_2",586.337554630505,0.696407118394011,0.110451366133726,6.30510189933597,2.88004352271632e-10,4.94227391058628e-10
"secG",3734.14622369628,0.551116416411763,0.0874145522011659,6.30463009343669,2.88882991955946e-10,4.95414723761555e-10
"steT_2",3138.5931076633,-0.458088448136293,0.0730172035703404,-6.2737057260074,3.52554560618558e-10,6.04216569328834e-10
"GPFGEMDG_02657",2435.8712053482,-0.461290271075392,0.0735652708900508,-6.27048966848539,3.59914432184693e-10,6.16431884174301e-10
"pstS1_2",2228.41457872503,0.512578967845991,0.0817844067259824,6.26744129309858,3.67028925408913e-10,6.28211444586998e-10
"cspL",21295.0113242753,-0.5430533274127,0.08666151528656,-6.26637239860172,3.69555944878388e-10,6.32128898621768e-10
"ohrR",1615.31601429605,-0.427066627580188,0.0681888511078525,-6.26299784556728,3.7764583924205e-10,6.45550522879612e-10
"GPFGEMDG_02341",3205.56264484925,-0.597751892777774,0.0955272627341822,-6.25739580166869,3.91459027403269e-10,6.68732002383047e-10
"GPFGEMDG_00180",252.196088638958,-0.881450223695068,0.141679045534856,-6.22145794649788,4.92556187948091e-10,8.40895474019488e-10
"GPFGEMDG_01909",634.560665748152,0.559262852203522,0.0899510314736735,6.21741455368641,5.05413216912844e-10,8.62290202231367e-10
"sigV",223.149581737337,0.893388247220642,0.143819340278068,6.21187835720368,5.23549507859486e-10,8.92658640328545e-10
"glpE_1",2646.81077308267,0.52392833470412,0.0843757194536748,6.20946805664603,5.31642545893192e-10,9.0587519219951e-10
"rluD_3",8224.04497644063,0.381869870711491,0.0615164671437137,6.20760405208858,5.37984881620966e-10,9.16093639884738e-10
"GPFGEMDG_00892",2796.15064932791,0.435263128387444,0.0702366605450678,6.19709315633186,5.75154631856838e-10,9.78758972621034e-10
