"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"adhR"	281.080749988795	0.454578752332994	0.125512502392715	3.62178064867725	0.00029258216245175	0.000378270486769113
"ywnA"	704.985555518927	0.448962856097103	0.0933190394734857	4.81105312088714	1.50137103640175e-06	2.08440117451219e-06
"lgt"	2749.16509395959	0.448695911076331	0.0663573847777566	6.76180823851179	1.36280006832965e-11	2.16653914829442e-11
"yabA"	2706.39734406958	0.445448435593703	0.0930774048139238	4.78578486888653	1.70320418849218e-06	2.35816361733962e-06
"dgkA"	2232.12055596121	0.439880054730087	0.0679890299316917	6.46986808271911	9.80885123276121e-11	1.5321928643585e-10
"lytR_1"	14450.0478972957	0.437212811048034	0.0479044492735135	9.1267683415321	7.05745264801193e-20	1.29969774884186e-19
"atpC"	13654.7175219474	0.434199888459544	0.0635535881720093	6.83202791452737	8.37225529045373e-12	1.34079335513786e-11
"pinR"	434.011822997646	0.433788953130822	0.118533715147355	3.65962504922383	0.000252584561414407	0.000327950798835586
"copA"	3340.47460368094	0.432215906362628	0.0652290683321313	6.62612417154089	3.44615316415349e-11	5.43322077536829e-11
"mreC"	10472.3776692862	0.431766495122177	0.0535913021736788	8.05665243443624	7.84121952116141e-16	1.34635595611374e-15
"yfkN"	2060.03504409792	0.428094086822513	0.065819182361998	6.5040930540286	7.81635038320500e-11	1.22346368279766e-10
"nadE"	9994.88649011641	0.424471638333916	0.0618879670960776	6.85871031560866	6.94849778312929e-12	1.11748280081372e-11
"ftsH"	52669.0013893357	0.421918634361307	0.0819869178192659	5.14617021329422	2.65858209225175e-07	3.77355128285127e-07
"fabG_2"	2945.37875880581	0.421327967487539	0.061590590766341	6.84078464332239	7.87605835674196e-12	1.26398702606091e-11
"yxdL_1"	665.943104670689	0.420954429120524	0.0937165931216309	4.49178117875224	7.06299727350553e-06	9.60441504245439e-06
"ampH"	1109.53292574059	0.419971885007483	0.0733761450260528	5.72354795769617	1.04322100937916e-08	1.54555019191095e-08
"uvrC_2"	4114.79036941778	0.41906287099696	0.0581982303780359	7.20061191336696	5.99429343152077e-13	9.79539581137998e-13
"msrA_2"	3943.77597730564	0.416661515857443	0.0564402103978763	7.3823522789901	1.55517041616458e-13	2.57448319980289e-13
"rspR_1"	893.666784178168	0.413565930824354	0.0904343881217064	4.57310476041236	4.80549714756156e-06	6.56981342525697e-06
"ecfA2_1"	6587.09970711867	0.40963209716428	0.0566428258396131	7.23184429965011	4.76478306762727e-13	7.82822503990974e-13
"bepA"	10440.9996367332	0.407452482722918	0.056911640208503	7.15938745097074	8.10383460516186e-13	1.32001498434883e-12
"hemN"	1603.44552482385	0.392989541225071	0.0910076678035571	4.31820252853146	1.57305053115976e-05	2.11639218989074e-05
"nox_2"	616.235582852211	0.392888345042496	0.0907096632051777	4.33127333031559	1.48249512167895e-05	1.99632190125291e-05
"tetR"	913.967590801675	0.391964401866718	0.108523266245626	3.61180063434108	0.000304078302342553	0.000392467164803142
"miaA"	2416.98414498981	0.386380637370354	0.0600388983774774	6.43550511105478	1.23063388305072e-10	1.91837810019063e-10
"yfbR"	2755.54706310622	0.385611501053358	0.0714032506990016	5.40047543043793	6.64645142192226e-08	9.64970973840573e-08
"divIVA"	32874.2115261398	0.384403085712986	0.0646151012816667	5.9491214605904	2.6958553970483e-09	4.04910036460016e-09
"argR_3"	3381.82698315615	0.379919149860604	0.0764990069326085	4.96632786612894	6.82325610115033e-07	9.58654893178225e-07
"clpE"	22055.4815627726	0.377280647346201	0.0501726224887069	7.51965172701749	5.49223472900793e-14	9.16174533655978e-14
"opuBB"	3466.28450809085	0.370170806629281	0.0645063965115456	5.73851318082891	9.55113312859029e-09	1.41777541470205e-08
"atpE_2"	4276.03247578773	0.369041891885626	0.0659861649267786	5.59271617459708	2.23544559409933e-08	3.2958215293449e-08
"yfnB_1"	1773.12654812224	0.365175694465213	0.0669182975776435	5.45703802523532	4.84142703960474e-08	7.04922885403253e-08
"ypwA"	14341.3576064975	0.362307034064974	0.0501738997703469	7.22102598608649	5.15967912503276e-13	8.46787856403544e-13
"tqsA_2"	1257.3945320214	0.357441347690456	0.0751441157677672	4.75674434436261	1.96740068937296e-06	2.72148160755224e-06
"recA"	27640.771809159	0.354592213725042	0.0512588173158475	6.91768230897934	4.59092387345149e-12	7.4067553593926e-12
"yitU"	5224.27702550263	0.354295593149214	0.0552179371323312	6.41631345807315	1.39613835552226e-10	2.17192922927518e-10
"ntpJ_1"	10334.6860168443	0.351220403622159	0.0713321549225005	4.92373185702501	8.49091655331645e-07	1.18857223443943e-06
"mnmA"	11304.0248496861	0.349876032055197	0.0632447948772347	5.53209213081244	3.16433612339137e-08	4.63838682957176e-08
"yjhB_2"	5336.9774050322	0.345537047405737	0.0551035049901375	6.27069090192324	3.59449547724018e-10	5.49640222071968e-10
"rex_1"	6213.6044787348	0.341099531885648	0.0565118137008534	6.03589779813592	1.58081285298142e-09	2.39321866311203e-09
"hsdR"	14637.6445518603	0.337987052913545	0.0518184404279344	6.52252460943117	6.91337152967125e-11	1.08323712342483e-10
"mepM_2"	961.00342158338	0.331138860602599	0.0836669476353952	3.957821696157	7.5636383427069e-05	9.98216741416171e-05
"mglA"	33200.4464235382	0.329643694736455	0.0667306315637462	4.93991570305391	7.81563515074541e-07	1.09606006764137e-06
"rsuA"	4205.35373751279	0.327586423166662	0.0677446753429417	4.83560400147069	1.32741948795035e-06	1.85133688658277e-06
"kup"	13205.6703284351	0.32725720962991	0.0453875625952821	7.21028385128413	5.5835361772513e-13	9.14379096554164e-13
"maa"	3137.73448305417	0.322589582133528	0.0625315584602915	5.15882843921725	2.48499881311842e-07	3.53046006751805e-07
"arlR_2"	8847.83071892993	0.320870542307619	0.0601965232353877	5.3303833022534	9.80056935968331e-08	1.4068112285389e-07
"mscL"	3988.02186515519	0.31950357609271	0.0593887832795598	5.3798639818687	7.45421375226958e-08	1.07916041299492e-07
"fpgS"	4748.93364648837	0.316442429236816	0.0658791060218639	4.80338074308106	1.56008823634368e-06	2.16394752636741e-06
"mprF_1"	9333.64023092568	0.313191455567203	0.0479303413061451	6.53430472290521	6.39057147069351e-11	1.00235225024369e-10
"murA1_1"	30176.9192515313	0.312281915035164	0.0529372226467737	5.8990989595144	3.65491988127021e-09	5.47878245981745e-09
"cah"	4317.82216542073	0.311454589589978	0.0623492585908832	4.99532146217885	5.87378427186102e-07	8.28312356115216e-07
"yutF"	5313.78355536774	0.299838254943205	0.0521110456353908	5.75383301730511	8.72423341700322e-09	1.29629341405814e-08
"lipC"	6214.07087911227	0.299336592965498	0.0540456446310906	5.53858863204862	3.04918922336699e-08	4.47390673139492e-08
"cca"	5869.11214107803	0.295914472686782	0.0550851593395655	5.37194547922889	7.78916619982566e-08	1.12444550922602e-07
"smc_2"	28571.9716494649	0.290859332289851	0.0488859677062446	5.94975093952569	2.68550819019295e-09	4.03754094142534e-09
"fieF"	3152.39389601927	0.290709696304666	0.0584257408156262	4.97571262676937	6.50080312034059e-07	9.14194196886308e-07
"dgaR_1"	8072.14942420166	0.290012301065623	0.0654101915587511	4.43374792451319	9.26088990257552e-06	1.2548341033472e-05
"polA"	9774.83265050578	0.283798718213753	0.0536954896647851	5.28533625422688	1.25474064842978e-07	1.79265479133073e-07
"oxyR"	7205.20159931945	0.281810008916386	0.0646960648278673	4.35590649394488	1.32517341887892e-05	1.78763429313782e-05
"pepQ"	7281.1533645492	0.273077298892204	0.0576457529163437	4.73716249813751	2.16731378486985e-06	2.99258285979763e-06
"era"	11044.417963794	0.270462696701741	0.0572366094352654	4.72534448441838	2.29725586348995e-06	3.16913105081087e-06
"purR_1"	2379.00083458618	0.269474491083271	0.0673699682520253	3.99992011388798	6.33638694357006e-05	8.37701155820938e-05
"trxA_1"	3914.4622606912	0.268957612239424	0.053697539959745	5.00875109811457	5.47843673183044e-07	7.73277028969209e-07
"pgi"	37680.5130859065	0.261440296923009	0.0690393170211602	3.78683202852193	0.000152580168455637	0.000199810487152136
"afr_1"	2512.94704182883	0.257935128047865	0.0608205545852564	4.24092035672414	2.2260511998043e-05	2.98439786734326e-05
"htrA"	12529.1358866748	0.257433371467985	0.0468301785508599	5.49716826700542	3.85938403370733e-08	5.64092311260678e-08
"arlS"	17311.3548495667	0.253039080497231	0.0528559000936173	4.78733840591218	1.69007721002216e-06	2.34211791707348e-06
"yugI_1"	15390.0104371498	0.247796570976414	0.0660997234210687	3.74882916525837	0.000177662048006883	0.000232057717936949
"corC_1"	1750.26226613191	0.242171419099883	0.0639182500893685	3.78876797724103	0.000151396227010378	0.000198430683078146
"sigA"	24390.3335615255	0.238030882023667	0.0651330000204276	3.65453582591027	0.000257647686229551	0.000334239715611249
"pyrDA"	11016.769747864	0.230323841988917	0.050505820341661	4.56034255915111	5.10702404604377e-06	6.97528526448906e-06
"ntpA"	19056.3684405524	0.229790488386899	0.0537004868702961	4.27911368740319	1.87639007832616e-05	2.52005475246098e-05
"gmuF"	7898.09927823183	0.228985917183785	0.0552848805495919	4.14192659742439	3.44400574361698e-05	4.60511040169329e-05
"nrdF"	16497.8527604915	0.222330818266877	0.0480667493252962	4.6254598321645	3.73768239854895e-06	5.13762661822207e-06
"ftsL_1"	7412.0099233717	0.220832140404594	0.0582616768135684	3.79034989176907	0.000150435223579105	0.000197340952205837
"yjcD"	5309.68587036432	0.209742762565496	0.0548737029200473	3.82228192019587	0.000132222398476915	0.000173748673753531
"dnaA"	15831.1659720796	-0.180577952998609	0.0451427123580405	-4.00015735798927	6.33003784085406e-05	8.37588847230298e-05
"ccpA_2"	21396.0714157169	-0.196066028333919	0.0454732120103936	-4.31168196979586	1.62017357269526e-05	2.1778679181067e-05
"ilvE"	8294.48544761439	-0.197694728990856	0.0547288345146082	-3.61225907228277	0.000303541081569494	0.000392106079075775
